,audiencescore,tomatometer,rating,ratingcontents,releasedatetheaters,runtimeminutes,genre,originallanguage,director,writer,boxoffice,distributor
88,87.0,95.0,R,Some Sex Related Dialogue,2002-02-22,100.0,Comedy,English,Mira Nair,Sabrina Dhawan,13.9,USA Films
146,40.0,15.0,PG-13,Extended Sequences of Violence,2018-11-21,118.0,Action,English,Otto Bathurst,Ben Chandler,30.8,Lionsgate Films
151,25.0,21.0,PG,Violence,1998-04-10,103.0,Comedy,English,Michael Lehmann,Billy Crystal,8.0,Columbia Pictures
273,93.0,91.0,PG-13,Some Strong Violence,2021-12-10,156.0,Musical,English,Steven Spielberg,Tony Kushner,38.5,20th Century Studios
308,69.0,71.0,R,Language,2015-12-04,118.0,Drama,English,Paolo Sorrentino,Paolo Sorrentino,2.7,Fox Searchlight
457,69.0,86.0,R,Sexual Dialogue'],2004-02-06,103.0,Drama,French (Canada),Patrice Leconte,Jérôme Tonnerre,2.1,Paramount Pictures
468,77.0,29.0,PG-13,Language,2022-06-10,147.0,Action,English,Colin Trevorrow,Emily Carmichael,376.0,Universal Pictures
473,53.0,16.0,R,Fantasy Horror Violence/Gore,2013-01-25,88.0,Fantasy,English,Tommy Wirkola,Tommy Wirkola,55.7,Paramount Pictures
499,88.0,94.0,PG-13,Mature Thematic Material,2007-12-25,96.0,Comedy,English,Jason Reitman,Diablo Cody,143.5,Fox
659,76.0,25.0,PG-13,Sensuality,2006-06-02,121.0,Drama,English,Victor Salva,Kevin Bernhardt,1.1,Lionsgate Films
680,40.0,12.0,R,Language,2007-03-23,89.0,Horror,English,Martin Weisz,Wes Craven,20.8,Fox
717,88.0,39.0,PG-13,Sequences of Strong Violence,2022-10-21,125.0,Action,English,Jaume Collet-Serra,Adam Sztykiel,168.1,Warner Bros. Pictures
771,90.0,86.0,PG-13,Violent Imagery,1999-08-06,107.0,Mystery & thriller,English,M. Night Shyamalan,M. Night Shyamalan,293.5,Buena Vista Pictures
873,31.0,8.0,R,Language,2001-03-23,95.0,Comedy,English,James B. Rogers,Peter Gaulke,5.5,20th Century Fox
883,84.0,75.0,R,Language Throughout,2020-01-24,113.0,Crime,English,Guy Ritchie,Guy Ritchie,36.5,STX Films
965,84.0,80.0,R,Nudity,2005-05-13,105.0,Crime,English,Matthew Vaughn,J.J Connolly,2.3,Sony Pictures Classics
977,57.0,5.0,R,Language,2007-09-21,99.0,Romance,English,Mark Helfrich,Josh Stolberg,35.0,Lionsgate Films
992,48.0,70.0,R,Nudity,2010-12-22,98.0,Comedy,English,Sofia Coppola,Sofia Coppola,1.8,Focus Features
1082,90.0,88.0,R,Disturbing Images,2017-08-18,111.0,Mystery & thriller,English,Taylor Sheridan,Taylor Sheridan,33.8,Weinstein Co.
1135,95.0,48.0,PG,Some Adventure Action'],2021-06-04,88.0,Kids & family,English,Elaine Bogan,Aury Wallington,17.6,Universal Pictures
1244,38.0,22.0,R,Some Sexual Content,2008-02-29,91.0,Comedy,English,Kent Alterman,Scot Armstrong,33.5,New Line Cinema
1265,81.0,94.0,R,Pervasive Language,2011-07-29,95.0,Comedy,English,John Michael McDonagh,John Michael McDonagh,5.4,Sony Pictures Classics
1286,54.0,50.0,R,Language Throughout,2012-07-06,130.0,Crime,English,Oliver Stone,Shane Salerno,47.3,Universal Studios
1311,66.0,67.0,PG-13,Thematic Material,2016-07-27,96.0,Mystery & thriller,English,Henry Joost,Jessica Sharzer,38.6,Lionsgate Films
1341,67.0,69.0,R,Language,1999-05-05,101.0,Romance,English,Jose Luis Valenzuela,Evelina Fernandez,428.5,New Latin Pictures
1397,82.0,92.0,R,Some Sexual References,2015-07-31,106.0,Drama,English,James Ponsoldt,Donald Margulies,3.0,A24
1468,59.0,78.0,R,Sexuality,2001-01-19,124.0,Crime,English,Sean Penn,Friedrich Dürrenmatt,19.7,E Stars Films
1473,48.0,57.0,R,Some Language,2010-10-22,91.0,Horror,English,Tod Williams,Michael R. Perry,84.7,Paramount Pictures
1526,48.0,45.0,PG,Peril/Action,2019-03-29,112.0,Kids & family,English,Tim Burton,Ehren Kruger,114.8,Walt Disney
1589,63.0,85.0,PG-13,Some Language,2011-09-09,106.0,Mystery & thriller,English,Steven Soderbergh,Scott Z. Burns,75.6,Warner Bros. Pictures
1613,83.0,74.0,R,Some Language,2001-01-26,132.0,Drama,English,Julian Schnabel,Reynaldo Arenas,4.2,El Mar Pictures
1816,41.0,62.0,R,Sex-Related Dialogue,1996-08-23,96.0,Romance,English,Edward Burns,Edward Burns,9.5,Fox
1858,73.0,52.0,R,Nudity,1999-12-22,162.0,Drama,English,Oliver Stone,Oliver Stone,75.5,Warner Bros. Pictures
